"Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
3.2089,0.15,236.98,10.8,0.0,16.0,1.0
3.86463,0.152,236.47,14.0,0.0,25.0,1.0
5.25139,0.148,236.5,13.2,0.0,26.0,0.0
1.472,0.236,238.65,6.2,0.0,3.0,1.0
3.88783,0.262,237.86,8.8,0.0,16.0,0.0
5.32572,0.252,236.9,12.0,0.0,23.0,1.0
2.568,0.246,237.39,11.6,0.0,25.0,1.0
1.02,0.272,238.9,4.4,0.0,4.0,0.0
1.59103,0.256,238.35,7.6,0.0,16.0,1.0
3.2215,0.258,237.76,10.2,0.0,27.0,1.0
1.84,0.25,237.76,8.4,0.0,20.0,0.0
0.814,0.226,239.51,3.6,0.0,3.0,1.0
1.426,0.128,239.01,6.0,0.0,15.0,1.0
2.422,0.132,238.01,10.4,0.0,31.0,0.0
3.4216,0.126,239.51,5.8,0.0,13.0,1.0
1.084,0.156,239.81,4.8,0.0,10.0,0.0
4.74159,0.132,239.66,3.0,0.0,3.0,1.0
0.55835,0.158,239.79,3.2,0.0,4.0,1.0
4.63011,0.134,240.05,3.0,0.0,3.0,0.0
2.5631,0.064,239.34,3.0,0.0,4.0,1.0
0.11922,0.0,239.66,2.8,0.0,3.0,1.0
2.4466,0.06,240.35,2.8,0.0,4.0,0.0
3.3367,0.0,241.29,2.8,0.0,3.0,1.0
0.662,0.222,241.11,2.8,0.0,2.0,1.0
4.29738,0.18,241.2,2.8,0.0,0.0,0.0
1.8942,0.168,240.11,5.2,0.0,0.0,1.0
1.448,0.184,240.19,6.0,0.0,0.0,1.0
4.86372,0.0,238.53,10.6,0.0,22.0,0.0
2.10611,0.0,237.98,12.6,0.0,36.0,1.0
2.57157,0.0,237.24,11.8,0.0,26.0,1.0
3.242,0.09,237.21,13.6,0.0,37.0,0.0
2.13482,0.142,237.86,11.4,0.0,28.0,1.0
3.80147,0.15,237.66,11.0,0.0,30.0,0.0
2.172,0.152,237.69,9.4,0.0,21.0,1.0
4.07986,0.168,237.87,12.0,0.0,35.0,1.0
2.014,0.29,238.62,8.6,0.0,17.0,0.0
3.05,0.28,238.38,12.8,0.0,36.0,1.0
3.09823,0.294,239.53,8.2,0.0,18.0,1.0
3.76194,0.28,238.14,12.8,0.0,35.0,0.0
3.51189,0.288,238.51,8.2,0.0,17.0,1.0
4.55736,0.278,237.66,12.2,0.0,33.0,0.0
2.90176,0.288,238.5,8.2,0.0,17.0,1.0
2.838,0.274,236.75,12.2,0.0,33.0,1.0
2.0894,0.28,237.67,8.4,0.0,17.0,0.0
2.794,0.282,238.05,12.0,0.0,32.0,1.0
1.36126,0.288,238.96,9.0,0.0,19.0,1.0
2.66921,0.284,237.85,11.2,0.0,29.0,0.0
2.50586,0.278,238.05,9.8,0.0,23.0,1.0
3.61968,0.278,237.38,10.8,0.0,25.0,1.0
2.15445,0.266,237.1,12.0,0.0,26.0,0.0
2.1757,0.44,237.04,11.6,0.0,22.0,1.0
4.03615,0.364,234.59,13.2,0.0,28.0,0.0
3.39228,0.328,235.56,10.6,0.0,20.0,1.0
2.27555,0.308,235.85,13.4,0.0,30.0,1.0
2.3005,0.328,237.12,10.0,0.0,18.0,0.0
2.35195,0.338,235.77,13.6,0.0,30.0,1.0
3.4967,0.414,236.05,10.6,0.0,17.0,1.0
3.99649,0.394,235.81,13.4,0.0,29.0,0.0
3.27204,0.412,236.58,11.8,0.0,22.0,1.0
2.878,0.392,235.99,12.4,0.0,25.0,0.0
2.72247,0.414,237.26,11.6,0.0,25.0,1.0
1.892,0.424,239.96,8.4,0.0,14.0,1.0
2.6649,0.44,240.08,7.6,0.0,10.0,0.0
3.30829,0.388,239.59,10.8,0.0,21.0,1.0
3.038,0.252,238.61,13.0,0.0,36.0,1.0
1.77949,0.252,239.72,6.8,0.0,17.0,0.0
2.79925,0.254,238.15,9.6,0.0,30.0,1.0
2.7556,0.26,239.38,3.0,0.0,5.0,1.0
1.31446,0.264,238.3,5.6,0.0,15.0,0.0
5.88333,0.234,237.53,9.6,0.0,30.0,1.0
2.6707,0.256,237.95,8.8,0.0,28.0,0.0
1.812,0.242,238.13,8.0,0.0,23.0,1.0
2.63285,0.162,238.47,7.8,0.0,24.0,1.0
2.62655,0.112,237.89,8.4,0.0,25.0,0.0
2.5813,0.054,239.26,5.0,0.0,14.0,1.0
2.5541,0.162,239.37,4.2,0.0,7.0,1.0
2.51735,0.172,238.54,7.0,0.0,19.0,0.0
2.372,0.146,237.82,10.2,0.0,34.0,1.0
1.254,0.18,239.25,5.4,0.0,13.0,1.0
2.25746,0.148,237.19,9.2,0.0,29.0,0.0
2.93251,0.182,239.02,2.6,0.0,4.0,1.0
3.20644,0.16,238.11,5.2,0.0,12.0,0.0
0.77474,0.16,237.51,8.6,0.0,23.0,1.0
2.3941,0.138,236.87,10.0,0.0,28.0,1.0
2.514,0.25,236.52,12.2,0.0,17.0,0.0
3.1951,0.606,235.8,19.2,0.0,24.0,1.0
3.57846,0.59,236.88,19.4,0.0,20.0,3.0
5.5408,0.412,236.18,19.6,0.0,19.0,19.0
2.5428,0.112,239.17,10.6,0.0,6.0,18.0
3.12,0.096,239.24,13.0,0.0,16.0,19.0
4.76467,0.1,238.81,16.0,0.0,27.0,18.0
3.48532,0.058,238.02,13.8,0.0,21.0,18.0
2.5768,0.0,237.55,9.6,0.0,5.0,18.0
2.57075,0.0,235.73,12.2,0.0,16.0,18.0
2.59995,0.0,235.2,15.4,0.0,25.0,18.0
2.60125,0.0,236.01,13.8,0.0,22.0,17.0
2.156,0.0,237.43,9.0,0.0,4.0,18.0
2.164,0.0,236.55,9.0,0.0,3.0,18.0
2.158,0.0,236.59,9.0,0.0,4.0,18.0
2.5522,0.114,236.32,11.4,0.0,3.0,27.0
4.68649,0.126,236.44,11.4,0.0,3.0,28.0
3.67331,0.112,236.13,11.6,0.0,4.0,28.0
2.776,0.128,236.76,11.6,0.0,3.0,29.0
2.924,0.118,237.45,12.2,0.0,4.0,28.0
4.80844,0.0,238.54,10.6,0.0,0.0,23.0
2.278,0.082,237.7,9.6,0.0,0.0,18.0
2.62115,0.088,237.35,10.2,0.0,0.0,17.0
3.81343,0.084,236.51,10.2,0.0,0.0,18.0
3.60463,0.088,235.64,10.0,0.0,0.0,18.0
2.402,0.084,236.23,10.2,0.0,0.0,18.0
3.88511,0.0,236.59,10.4,0.0,0.0,17.0
2.72445,0.0,237.13,10.4,0.0,1.0,18.0
2.466,0.0,236.81,10.4,0.0,0.0,18.0
5.56274,0.0,236.98,10.4,0.0,0.0,18.0
2.468,0.0,237.12,10.4,0.0,0.0,18.0
4.05007,0.0,237.45,10.6,0.0,0.0,18.0
2.586,0.14,237.83,10.8,0.0,0.0,18.0
2.86275,0.146,238.13,10.8,0.0,1.0,18.0
2.89365,0.146,239.0,10.4,0.0,0.0,18.0
2.674,0.152,239.89,11.0,0.0,0.0,18.0
2.9584,0.144,238.99,11.0,0.0,0.0,18.0
2.64,0.144,237.4,11.0,0.0,0.0,18.0
2.618,0.14,237.56,11.0,0.0,0.0,18.0
3.02195,0.144,237.57,11.0,0.0,1.0,18.0
3.0266,0.108,237.24,11.4,0.0,0.0,18.0
2.98195,0.0,237.09,11.2,0.0,0.0,18.0
5.8968,0.0,234.08,21.8,0.0,0.0,17.0
5.29,0.0,233.68,22.6,0.0,0.0,17.0
4.33621,0.0,234.81,20.4,0.0,0.0,18.0
3.06465,0.046,237.29,11.4,0.0,0.0,18.0
3.0391,0.0,237.74,11.4,0.0,0.0,18.0
2.71505,0.0,236.57,11.2,0.0,1.0,17.0
4.57441,0.066,236.93,10.8,0.0,0.0,18.0
2.66581,0.084,237.51,10.8,0.0,0.0,18.0
2.98285,0.074,238.55,8.0,0.0,0.0,6.0
2.94155,0.076,238.69,6.4,0.0,0.0,1.0
1.56,0.07,238.74,6.4,0.0,1.0,1.0
1.72548,0.064,239.6,6.4,0.0,0.0,0.0
1.85784,0.0,239.12,6.0,0.0,0.0,1.0
2.02635,0.0,238.74,6.0,0.0,0.0,0.0
3.05489,0.144,237.51,7.0,0.0,0.0,1.0
2.8324,0.35,235.49,12.0,0.0,0.0,1.0
4.58523,0.34,235.44,12.6,0.0,0.0,0.0
2.55672,0.14,237.44,6.8,0.0,0.0,1.0
2.704,0.0,239.93,11.2,0.0,0.0,18.0
2.2327,0.0,240.19,11.2,0.0,0.0,19.0
5.86549,0.0,241.52,11.2,0.0,0.0,18.0
2.29475,0.0,241.06,11.2,0.0,0.0,19.0
3.82026,0.0,240.4,11.2,0.0,0.0,18.0
3.46046,0.0,240.87,12.2,0.0,0.0,21.0
3.6192,0.144,240.35,13.6,0.0,0.0,28.0
2.4519,0.136,239.55,13.8,0.0,0.0,29.0
3.324,0.136,239.45,13.8,0.0,0.0,28.0
3.25494,0.14,240.3,13.8,0.0,0.0,29.0
3.10047,0.118,240.7,13.0,0.0,0.0,25.0
2.786,0.072,240.33,11.6,0.0,0.0,18.0
3.43031,0.074,240.41,11.6,0.0,0.0,18.0
5.07577,0.072,240.03,11.6,0.0,0.0,18.0
2.7223,0.072,240.4,11.6,0.0,0.0,19.0
2.7555,0.072,240.05,11.6,0.0,0.0,18.0
2.784,0.072,240.27,11.6,0.0,0.0,18.0
2.8223,0.074,240.49,11.6,0.0,0.0,19.0
2.776,0.072,239.94,11.4,0.0,0.0,18.0
3.97907,0.074,240.36,11.6,0.0,0.0,18.0
2.9227,0.072,240.62,11.6,0.0,0.0,19.0
2.79,0.122,240.07,11.6,0.0,0.0,18.0
3.302,0.232,238.5,13.8,0.0,0.0,18.0
4.3597,0.352,239.11,12.8,0.0,0.0,18.0
3.05665,0.262,239.39,12.6,0.0,0.0,19.0
3.254,0.246,239.04,13.6,0.0,0.0,18.0
4.53324,0.248,239.62,13.8,0.0,0.0,18.0
3.1595,0.248,239.44,13.6,0.0,0.0,18.0
3.256,0.25,239.55,13.6,0.0,0.0,18.0
3.19215,0.252,240.03,13.6,0.0,0.0,19.0
3.19405,0.254,240.78,13.6,0.0,0.0,18.0
3.86887,0.258,241.28,12.0,0.0,0.0,11.0
2.226,0.264,242.04,9.2,0.0,0.0,1.0
2.3004,0.26,240.92,9.2,0.0,0.0,1.0
5.71604,0.26,240.86,9.2,0.0,0.0,0.0
4.37107,0.26,240.62,9.2,0.0,0.0,1.0
3.11285,0.258,240.39,9.2,0.0,0.0,1.0
3.27563,0.258,240.06,9.2,0.0,0.0,0.0
3.67332,0.258,240.27,9.2,0.0,0.0,1.0
4.41018,0.148,239.83,9.0,0.0,0.0,1.0
3.06005,0.242,239.79,9.2,0.0,0.0,0.0
4.48516,0.244,239.49,9.2,0.0,2.0,1.0
2.184,0.244,239.94,9.2,0.0,1.0,1.0
2.96544,0.244,239.82,9.2,0.0,1.0,0.0
2.184,0.242,239.45,9.2,0.0,2.0,1.0
2.194,0.238,239.4,9.2,0.0,1.0,1.0
2.19,0.246,240.62,9.2,0.0,2.0,0.0
2.17667,0.242,239.67,9.2,0.0,1.0,1.0
2.182,0.244,239.9,9.2,0.0,2.0,0.0
2.176,0.24,239.59,9.2,0.0,1.0,1.0
3.29536,0.248,240.9,9.2,0.0,1.0,1.0
2.83995,0.318,239.76,10.0,0.0,2.0,0.0
2.74899,0.24,239.61,9.2,0.0,1.0,1.0
2.74581,0.246,240.72,9.2,0.0,2.0,1.0
2.7967,0.248,240.97,9.4,0.0,1.0,0.0
2.78075,0.252,240.74,9.0,0.0,1.0,1.0
4.72627,0.246,240.38,8.0,0.0,2.0,1.0
2.52915,0.242,240.35,8.2,0.0,1.0,0.0
2.72285,0.236,239.39,9.2,0.0,1.0,1.0
1.89,0.242,239.78,8.0,0.0,1.0,1.0
2.6779,0.24,239.17,8.0,0.0,2.0,0.0
2.66475,0.29,239.94,9.6,0.0,1.0,1.0
2.294,0.472,239.09,9.8,0.0,1.0,1.0
2.61985,0.394,239.84,9.6,0.0,1.0,0.0
2.29,0.486,239.91,9.8,0.0,2.0,1.0
2.94807,0.47,239.41,9.6,0.0,1.0,1.0
3.67492,0.468,239.18,9.6,0.0,1.0,0.0
2.5231,0.434,239.25,9.4,0.0,1.0,1.0
5.4013,0.35,239.48,9.2,0.0,0.0,0.0
3.07156,0.35,239.44,9.2,0.0,0.0,1.0
2.14,0.348,239.2,9.0,0.0,0.0,1.0
3.42851,0.352,240.14,9.4,0.0,0.0,0.0
2.4294,0.344,239.53,10.2,0.0,0.0,1.0
2.456,0.352,240.98,10.4,0.0,0.0,1.0
4.17564,0.356,241.5,10.2,0.0,0.0,0.0
3.2525,0.352,241.0,10.4,0.0,0.0,1.0
2.452,0.35,240.67,10.4,0.0,0.0,1.0
3.93073,0.348,240.25,10.2,0.0,0.0,0.0
2.82085,0.312,239.76,10.2,0.0,0.0,1.0
2.46935,0.128,238.68,9.6,0.0,0.0,1.0
4.39439,0.112,239.42,9.4,0.0,0.0,0.0
2.092,0.0,240.19,8.8,0.0,0.0,1.0
1.59,0.0,240.31,6.6,0.0,0.0,1.0
2.4347,0.0,240.63,5.8,0.0,0.0,0.0
3.31818,0.06,240.8,7.2,0.0,0.0,1.0
4.96008,0.326,239.58,12.8,0.0,0.0,1.0
2.178,0.128,241.36,9.6,0.0,0.0,0.0
2.459,0.254,240.48,12.4,0.0,0.0,1.0
2.57611,0.154,240.5,10.6,0.0,0.0,1.0
1.414,0.0,240.52,5.8,0.0,0.0,0.0
2.4265,0.0,240.73,5.8,0.0,0.0,1.0
3.61974,0.0,241.3,5.8,0.0,0.0,0.0
2.38425,0.0,241.22,5.8,0.0,0.0,1.0
2.3646,0.0,241.66,5.8,0.0,0.0,1.0
2.39765,0.0,241.46,5.8,0.0,0.0,0.0
2.3261,0.0,240.91,5.8,0.0,0.0,1.0
2.31405,0.0,241.26,5.8,0.0,0.0,1.0
2.3007,0.0,241.4,5.8,0.0,0.0,0.0
2.2818,0.0,241.63,5.8,0.0,0.0,1.0
2.2702,0.0,242.15,5.8,0.0,0.0,1.0
2.2584,0.0,241.93,5.8,0.0,0.0,0.0
2.15625,0.0,241.15,7.0,0.0,0.0,1.0
3.07236,0.0,241.31,7.0,0.0,0.0,1.0
1.506,0.0,241.11,6.2,0.0,0.0,0.0
1.616,0.176,242.63,6.6,0.0,0.0,1.0
1.568,0.224,242.84,6.4,0.0,0.0,1.0
3.6398,0.23,243.56,6.6,0.0,0.0,0.0
1.466,0.232,243.28,6.0,0.0,0.0,1.0
2.12495,0.23,242.81,6.0,0.0,0.0,1.0
3.44697,0.23,243.08,6.0,0.0,0.0,0.0
2.09015,0.228,242.82,6.0,0.0,0.0,1.0
2.36301,0.226,242.04,6.0,0.0,0.0,1.0
1.434,0.228,242.08,6.0,0.0,0.0,0.0
2.0198,0.228,242.34,6.0,0.0,0.0,1.0
1.434,0.23,242.4,6.0,0.0,0.0,1.0
2.20102,0.228,242.14,6.0,0.0,0.0,0.0
1.84082,0.23,242.53,6.0,0.0,0.0,1.0
2.0843,0.228,242.13,5.8,0.0,0.0,1.0
2.7853,0.224,241.63,5.8,0.0,0.0,0.0
2.55727,0.224,241.68,5.8,0.0,0.0,1.0
1.84965,0.134,241.97,5.6,0.0,0.0,1.0
1.33,0.09,241.98,5.4,0.0,0.0,0.0
3.96378,0.084,240.01,5.4,0.0,0.0,1.0
1.34593,0.0,238.76,5.4,0.0,0.0,1.0
1.31,0.0,238.8,5.4,0.0,0.0,0.0
1.34512,0.0,238.95,5.6,0.0,0.0,1.0
1.742,0.0,238.69,7.6,0.0,0.0,1.0
1.7657,0.26,237.38,13.2,0.0,0.0,0.0
1.78735,0.294,237.82,14.0,0.0,0.0,1.0
4.64023,0.4,238.54,14.4,0.0,0.0,0.0
2.442,0.23,239.0,10.6,0.0,0.0,1.0
3.88682,0.158,239.16,8.0,0.0,0.0,1.0
2.88854,0.158,239.9,7.4,0.0,0.0,0.0
3.13024,0.154,239.55,6.6,0.0,0.0,1.0
1.89395,0.15,239.34,6.6,0.0,0.0,1.0
1.618,0.152,240.54,6.6,0.0,0.0,0.0
2.30102,0.15,240.71,6.6,0.0,0.0,1.0
2.49903,0.146,240.25,6.6,0.0,0.0,1.0
1.938,0.318,238.75,11.2,0.0,0.0,0.0
3.054,0.34,237.96,12.8,0.0,0.0,1.0
2.82468,0.226,238.67,9.0,0.0,0.0,1.0
2.277,0.27,238.97,7.2,0.0,0.0,0.0
4.15509,0.188,239.37,6.6,0.0,0.0,1.0
1.99235,0.112,239.51,6.2,0.0,0.0,0.0
1.989,0.112,239.59,6.2,0.0,0.0,1.0
1.9864,0.106,238.23,6.0,0.0,0.0,1.0
3.94612,0.106,237.94,6.0,0.0,0.0,0.0
3.28874,0.102,237.2,6.0,0.0,0.0,1.0
1.442,0.1,236.57,6.0,0.0,0.0,1.0
4.29094,0.098,235.73,6.0,0.0,0.0,0.0
1.434,0.098,236.07,6.0,0.0,0.0,1.0
1.432,0.098,235.94,6.0,0.0,0.0,1.0
3.36621,0.156,236.44,6.4,0.0,0.0,0.0
1.512,0.2,236.5,6.4,0.0,0.0,1.0
1.518,0.2,236.51,6.4,0.0,0.0,0.0
1.526,0.202,237.23,6.4,0.0,0.0,1.0
1.522,0.202,237.0,6.4,0.0,0.0,1.0
2.26041,0.206,237.77,6.4,0.0,0.0,0.0
1.46,0.124,237.57,6.0,0.0,0.0,1.0
1.48,0.074,237.69,6.2,0.0,0.0,1.0
1.528,0.074,237.55,6.4,0.0,0.0,0.0
1.4379,0.074,237.75,6.4,0.0,0.0,1.0
1.532,0.076,238.16,6.4,0.0,0.0,1.0
1.458,0.078,238.55,6.0,0.0,0.0,0.0
1.372,0.0,237.43,5.8,0.0,0.0,1.0
2.01645,0.0,237.93,5.6,0.0,0.0,0.0
1.36,0.0,237.64,5.6,0.0,0.0,1.0
1.188,0.0,237.3,5.0,0.0,0.0,1.0
2.51824,0.0,236.93,5.0,0.0,0.0,0.0
1.85105,0.0,237.65,5.0,0.0,0.0,1.0
2.58276,0.0,236.9,9.2,0.0,0.0,1.0
1.8447,0.074,237.44,8.8,2.0,0.0,1.0
1.86015,0.298,237.66,10.4,1.0,0.0,10.0
1.884,0.282,238.8,8.0,1.0,2.0,10.0
1.54585,0.286,238.9,7.0,2.0,1.0,11.0
1.8724,0.284,238.81,7.4,1.0,2.0,11.0
1.672,0.386,238.8,7.2,1.0,1.0,10.0
1.336,0.308,239.15,5.6,1.0,1.0,0.0
1.388,0.342,239.45,6.0,1.0,2.0,1.0
1.452,0.43,239.34,6.2,2.0,1.0,1.0
0.272,0.0,249.44,1.0,0.0,0.0,1.0
0.374,0.0,249.46,1.6,0.0,0.0,1.0
1.01225,0.0,247.77,2.4,0.0,0.0,0.0
1.0081,0.0,248.48,2.4,0.0,1.0,1.0
3.54182,0.0,249.23,2.6,0.0,0.0,1.0
0.9997,0.0,249.27,2.4,0.0,0.0,0.0
0.642,0.0,249.3,2.6,0.0,0.0,1.0
0.714,0.076,249.36,2.8,0.0,0.0,1.0
0.9889,0.132,247.8,3.0,0.0,0.0,1.0
0.702,0.124,247.58,2.8,0.0,0.0,0.0
0.9845,0.136,248.79,2.8,0.0,1.0,1.0
0.916,0.124,247.89,3.8,0.0,0.0,1.0
0.99735,0.13,247.23,4.8,0.0,0.0,0.0
2.92152,0.242,247.44,6.0,0.0,0.0,1.0
1.0163,0.138,248.4,3.6,0.0,0.0,1.0
1.01755,0.13,247.93,3.6,0.0,0.0,0.0
0.95524,0.128,246.71,3.2,0.0,1.0,1.0
1.25855,0.124,247.25,2.6,0.0,0.0,1.0
0.59165,0.13,247.97,2.6,0.0,0.0,0.0
0.9853,0.13,248.63,2.0,0.0,0.0,1.0
0.45,0.136,248.22,1.8,0.0,0.0,1.0
0.43,0.128,248.17,1.8,0.0,0.0,1.0
0.446,0.132,247.57,1.8,0.0,0.0,0.0
0.398,0.078,247.68,1.6,0.0,0.0,1.0
0.9342,0.0,247.31,1.4,0.0,1.0,1.0
1.71678,0.0,247.53,1.2,0.0,0.0,0.0
2.12761,0.0,248.35,1.4,0.0,0.0,1.0
0.326,0.0,247.87,1.2,0.0,0.0,1.0
0.344,0.0,248.09,1.4,0.0,0.0,0.0
0.324,0.0,246.95,1.2,0.0,0.0,1.0
0.8706,0.0,246.62,1.4,0.0,1.0,1.0
0.334,0.0,247.41,1.2,0.0,0.0,0.0
1.80687,0.0,247.48,1.4,0.0,0.0,1.0
0.78796,0.0,247.48,1.4,0.0,0.0,1.0
0.8301,0.0,246.96,1.4,0.0,0.0,0.0
2.86854,0.0,246.69,1.4,0.0,0.0,1.0
0.81255,0.0,246.12,1.2,0.0,0.0,1.0
2.13703,0.0,244.84,1.4,0.0,1.0,0.0
1.64294,0.0,244.22,1.6,0.0,0.0,1.0
0.416,0.086,243.87,1.6,0.0,0.0,1.0
0.392,0.078,243.15,1.6,0.0,0.0,0.0
2.73239,0.084,243.28,1.6,0.0,0.0,1.0
2.00704,0.078,243.15,1.6,0.0,0.0,1.0
0.78875,0.084,243.12,1.6,0.0,1.0,0.0
0.39,0.078,243.18,1.6,0.0,0.0,1.0
2.0165,0.084,243.17,1.6,0.0,0.0,1.0
2.55278,0.076,242.45,1.6,0.0,0.0,0.0
1.88118,0.08,242.03,1.6,0.0,0.0,1.0
0.392,0.076,242.73,1.6,0.0,0.0,1.0
0.74755,0.082,242.4,1.6,0.0,0.0,0.0
0.74395,0.082,243.29,2.6,0.0,0.0,1.0
3.69857,0.118,243.2,5.8,0.0,1.0,1.0
0.7522,0.1,242.96,4.8,0.0,0.0,0.0
2.14997,0.108,242.85,4.6,0.0,0.0,1.0
0.98,0.102,242.68,4.0,0.0,0.0,1.0
0.74835,0.106,242.0,4.2,0.0,0.0,0.0
1.08536,0.102,242.58,4.0,0.0,0.0,1.0
1.13335,0.108,242.84,4.0,0.0,1.0,1.0
3.40226,0.104,242.92,4.0,0.0,0.0,0.0
3.17104,0.11,243.25,4.0,0.0,0.0,1.0
1.83454,0.104,243.22,4.0,0.0,0.0,1.0
1.0,0.11,243.16,4.0,0.0,0.0,0.0
0.32197,0.106,243.49,4.0,0.0,0.0,1.0
1.51285,0.112,243.73,4.0,0.0,0.0,1.0
0.85575,0.114,244.26,4.0,0.0,1.0,0.0
0.87205,0.106,243.68,4.0,0.0,0.0,1.0
1.59248,0.11,243.25,4.0,0.0,0.0,1.0
1.93928,0.102,243.45,4.0,0.0,0.0,0.0
0.902,0.0,244.01,3.6,0.0,0.0,1.0
1.65265,0.0,244.93,3.6,0.0,0.0,1.0
0.91,0.0,245.47,3.6,0.0,1.0,0.0
0.892,0.0,245.24,3.6,0.0,0.0,1.0
0.97455,0.0,244.23,3.6,0.0,0.0,1.0
0.89,0.0,244.9,3.6,0.0,0.0,0.0
0.974,0.0,245.06,4.0,0.0,0.0,1.0
1.074,0.0,244.71,4.4,0.0,0.0,1.0
0.966,0.0,244.51,3.8,0.0,0.0,1.0
0.914,0.0,244.98,3.6,0.0,0.0,0.0
1.06595,0.0,245.06,3.6,0.0,1.0,1.0
1.61913,0.0,244.42,3.6,0.0,0.0,1.0
1.09765,0.178,244.34,4.8,0.0,0.0,0.0
2.36832,0.16,244.87,4.6,0.0,0.0,1.0
0.992,0.16,244.97,4.0,0.0,0.0,1.0
1.14665,0.164,245.13,4.2,0.0,0.0,0.0
1.112,0.258,244.59,4.6,0.0,1.0,1.0
3.12833,0.25,244.74,4.4,0.0,0.0,1.0
1.1995,0.254,245.02,4.6,0.0,0.0,0.0
1.2167,0.244,244.8,4.6,0.0,0.0,1.0
1.2347,0.25,245.2,4.6,0.0,0.0,1.0
2.14449,0.242,245.13,4.4,0.0,0.0,0.0
2.57418,0.252,245.92,4.0,0.0,1.0,1.0
1.2522,0.248,246.61,3.6,0.0,0.0,1.0
1.2444,0.252,246.02,3.6,0.0,0.0,0.0
2.22093,0.248,246.62,3.6,0.0,0.0,1.0
2.46521,0.248,246.92,3.6,0.0,0.0,1.0
3.51983,0.248,246.57,3.6,0.0,0.0,0.0
1.40122,0.352,246.63,4.0,0.0,0.0,1.0
1.99392,0.39,246.48,4.2,0.0,1.0,1.0
0.934,0.348,245.99,4.0,0.0,0.0,0.0
2.02324,0.278,246.16,3.8,0.0,0.0,1.0
1.2393,0.41,246.66,7.0,0.0,0.0,1.0
3.66946,0.346,245.86,7.0,0.0,0.0,0.0
5.33582,0.12,246.32,2.6,0.0,0.0,1.0
4.12254,0.126,246.43,2.6,0.0,1.0,1.0
1.2234,0.116,245.62,2.6,0.0,0.0,1.0
2.72662,0.118,244.56,2.6,0.0,0.0,0.0
1.12906,0.116,245.36,2.6,0.0,0.0,1.0
1.19825,0.122,245.47,2.6,0.0,0.0,1.0
0.634,0.118,245.87,2.6,0.0,0.0,0.0
0.39578,0.126,246.27,2.6,0.0,0.0,1.0
0.638,0.12,246.73,2.6,0.0,0.0,1.0
0.716,0.126,246.38,3.2,0.0,1.0,0.0
0.40028,0.1,245.52,7.0,0.0,0.0,1.0
1.19015,0.0,246.0,3.6,0.0,0.0,1.0
0.798,0.0,246.09,3.2,0.0,0.0,0.0
2.66761,0.0,244.5,8.2,0.0,0.0,13.0
3.138,0.0,243.71,13.2,1.0,0.0,20.0
3.14,0.0,243.1,13.2,2.0,1.0,19.0
1.3503,0.074,244.14,9.4,1.0,0.0,19.0
1.38565,0.072,243.5,9.4,1.0,0.0,19.0
5.46934,0.076,244.55,9.4,1.0,0.0,19.0
3.27419,0.072,242.93,9.4,1.0,0.0,19.0
2.51066,0.078,242.0,9.4,2.0,0.0,19.0
4.62285,0.072,242.44,9.4,1.0,0.0,18.0
